Sun Azimuth (deg)	Sun Zenith (deg)	Phytoplankton	Scattering X	Scattering Y	CDOM G	CDOM S	Depth (m)	#wave length (nm) →	410	430	450	470	490	510	530	550	570	590	610	630	650	670	690	710	730
130	40	0.033	0.01	1	0.02	0.014	12	-	0.01008	0.010795	0.011843	0.013729	0.014985	0.01188	0.010867	0.0091966	0.0073631	0.001509	0.00016942	0.00012845	0.000093626	0.000065648	0.000054546	0.000033003	0.000015025
130	40	0.06	0.01	1	0.09	0.014	12	-	0.0014395	0.0018867	0.0026642	0.0038856	0.0053389	0.00531	0.0058715	0.0058048	0.0051927	0.0011377	0.00015382	0.00011914	0.000089309	0.0000631	0.000053536	0.000032852	0.000015014
130	40	0.013	0.01	1	0.02	0.014	12	-	0.015533	0.018087	0.019581	0.021968	0.022497	0.016401	0.013903	0.011027	0.008457	0.0017186	0.00017817	0.0001345	0.000096579	0.000067512	0.000055225	0.000033089	0.000015028
130	40	0.033	0.01	1	0.09	0.014	15	-	0.0013678	0.0020423	0.0029869	0.004436	0.0058864	0.0051283	0.0050901	0.0044913	0.0036314	0.00063899	0.00012806	0.00010834	0.000087732	0.000065067	0.000054361	0.000032968	0.000015019
130	40	0.033	0.01	1	0.02	0.014	15	-	0.0073992	0.0078396	0.0085706	0.010077	0.011058	0.0082103	0.0072601	0.0058611	0.0044287	0.00071718	0.00013059	0.00010958	0.000088294	0.000065295	0.000054485	0.000033003	0.000015025
130	40	0.033	0.01	1	0.141	0.014	15	-	0.00057761	0.00091237	0.0014996	0.002529	0.0037849	0.0036754	0.0039506	0.0037107	0.0031482	0.00058898	0.00012632	0.00010746	0.000087328	0.000064901	0.000054271	0.000032942	0.000015015
130	40	0.094	0.01	1	0.09	0.014	15	-	0.00053108	0.00056414	0.0007218	0.0010384	0.0015555	0.0017224	0.0021615	0.0023669	0.002223	0.00044181	0.00011903	0.00010089	0.000082503	0.000060316	0.000052429	0.000032708	0.000015009
130	40	0.033	0.01	1	0.05	0.014	15	-	0.0033962	0.0042908	0.0053866	0.0070448	0.0084112	0.0066986	0.0062291	0.0052263	0.0040662	0.00068222	0.00012949	0.00010904	0.000088052	0.000065197	0.000054432	0.000032988	0.000015022
130	40	0.06	0.01	1	0.141	0.014	15	-	0.00042948	0.00055931	0.00082739	0.0013419	0.0021028	0.0022671	0.0027036	0.0027947	0.0025335	0.00049935	0.00012224	0.00010406	0.000084945	0.000062719	0.000053401	0.000032827	0.00001501
130	40	0.06	0.01	1	0.09	0.014	15	-	0.00084927	0.0010705	0.0014976	0.0022374	0.0031873	0.003116	0.003456	0.003368	0.0029147	0.00053909	0.00012382	0.00010486	0.000085322	0.000062874	0.000053489	0.000032852	0.000015014
130	40	0.06	0.01	1	0.02	0.014	15	-	0.0038029	0.0035477	0.0039281	0.0048265	0.0058148	0.0049022	0.0048824	0.0043717	0.0035429	0.00060114	0.00012609	0.00010598	0.000085847	0.000063087	0.000053609	0.000032888	0.00001502
130	40	0.013	0.01	1	0.141	0.014	15	-	0.00076105	0.0014227	0.0024821	0.0042092	0.0059849	0.005333	0.0052726	0.004597	0.0037074	0.00067003	0.00012962	0.0001102	0.000089202	0.00006662	0.000054934	0.000033028	0.000015018
